id,income,age,rooms,bedrooms,population,people_per_house,location,outcome
0,4.5493,forty-three,4.6923076923076925,1.026525198938992,-639.0,2.923076923076923,37.66;-122.43,1.0
1,4.4391,fourteen,5.280561122244489,1.034068136272545,1150.0,2.3046092184368736,33.68_-117.8,1.0
2,3.3333,eleven,6.410396716826265,1.1641586867305063,2466.0,3.3734610123119015,33.67_-116.31,0.0
3,3.2847,17.0,3.381720430107527,1.1881720430107527,514.0,2.763440860215054,34.24;-119.18,0.0
4,1.4464,17.0,5.431034482758621,1.5344827586206897,130.0,2.2413793103448274,"37.65,-120.46",0.0
5,7.1298,sixteen,7.837719298245614,1.0350877192982457,770.0,3.3771929824561404,32.82_-117.08,1.0
6,12.5381,29.0,6.888888888888889,1.2222222222222223,50.0,2.7777777777777777,33.96_-117.44,0.0
7,2.3859,36.0,4.075371549893843,1.0658174097664543,-526.0,5.001061571125265,"34.05,-117.76",0.0
8,3.9798,thirty-one,4.7073170731707314,1.1121951219512196,1002.0,2.44390243902439,"34.0,-118.42",1.0
9,2.8056,thirty-five,5.262295081967213,1.1639344262295082,157.0,2.5737704918032787,"33.93,-116.61",0.0
10,1.6071,44.0,3.8625,1.5125,315.0,3.9375,36.65;-121.63,0.0
11,2.0375,twenty-six,7.12,1.6,55.0,2.2,"41.21,-122.34",0.0
12,1.6559,forty-eight,5.161662817551963,1.0,1363.0,3.147806004618938,33.99;-118.31,0.0
13,1.6901,36.0,4.344827586206897,1.0883620689655173,1807.0,3.894396551724138,33.99_-118.26,0.0
14,5.1269,6.0,4.973083197389886,1.0358890701468189,2678.0,2.1843393148450243,"33.76,-118.3",1.0
15,2.1607,thirty-five,4.144486692015209,1.015209125475285,1339.0,5.091254752851711,"33.94,-118.23",0.0
16,2.2898,42.0,4.563981042654029,1.0236966824644549,471.0,2.2322274881516586,"36.96,-120.07",0.0
17,3.5703,43.0,4.721875,0.9125,721.0,2.253125,"37.97,-121.33",0.0
18,7.494,twenty-two,7.6008359456635315,1.0470219435736676,2468.0,2.57889237199582,"37.99,-122.47",1.0
19,3.1235,seventeen,3.600263852242744,1.183377308707124,1404.0,1.8522427440633245,34.04_-118.46,1.0
20,2.625,19.0,4.870307167235495,1.0614334470989761,1026.0,3.5017064846416384,"36.3,-119.2",0.0
21,2.125,twenty-four,4.3355704697986575,0.8993288590604027,-764.0,3.046979865771812,36.95;-120.06,0.0
22,3.0432,twenty-nine,5.301824212271973,1.0480928689883913,-900.0,2.855721393034826,33.94_-116.97,0.0
23,1.913,35.0,2.9674620390455533,1.054229934924078,2239.0,4.856832971800434,34.02_-118.25,0.0
24,1.6168,fourteen,4.413314840499306,1.0124826629680999,2298.0,3.187239944521498,"36.74,-120.04",0.0
25,4.5658,thirty-three,5.74468085106383,1.2644376899696048,859.0,2.6109422492401215,33.62_-117.93,1.0
26,2.9708,27.0,5.494577006507592,1.123644251626898,1371.0,2.9739696312364425,36.04;-120.14,0.0
27,1.9605,37.0,5.219211822660099,1.0886699507389161,1372.0,3.3793103448275863,33.9;-118.25,0.0
28,1.1051,32.0,3.901129943502825,1.0593220338983051,1268.0,3.5819209039548023,"33.94,-118.28",0.0
29,2.975,24.0,3.456730769230769,1.0913461538461537,665.0,1.5985576923076923,33.99_-118.47,1.0
30,6.3705,six,6.4594017094017095,1.106837606837607,1225.0,2.6175213675213675,37.67;-121.76,1.0
31,4.4561,twelve,6.094874591057797,1.0261723009814614,3018.0,3.2911668484187566,"35.41,-119.12",0.0
32,1.78,38.0,3.9756944444444446,1.125,596.0,2.0694444444444446,38.57_-121.48,0.0
33,2.3578,31.0,5.29038854805726,1.0858895705521472,1227.0,2.5092024539877302,34.1;-117.36,0.0
34,5.8374,thirty-six,5.438202247191011,0.9644194756554307,1463.0,2.7397003745318353,"33.91,-118.38",1.0
35,7.2731,4.0,8.861438679245284,1.34375,5613.0,3.3095518867924527,"33.02,-117.15",1.0
36,2.8942,39.0,4.333333333333333,1.0909090909090908,113.0,3.4242424242424243,34.19_-119.05,1.0
37,4.2344,thirty-four,5.137323943661972,0.977112676056338,1435.0,2.5264084507042255,"34.1,-118.12",1.0
38,3.5347,23.0,5.430952380952381,0.9714285714285714,-751.0,2.7714285714285714,40.56;-122.38,0.0
39,6.1274,eleven,6.75,1.0875,386.0,2.4125,34.17_-118.54,1.0
40,5.7654,thirty-five,5.755474452554744,1.0182481751824817,743.0,2.7116788321167884,33.84;-118.36,1.0
41,4.5744,fifty-two,5.429245283018868,1.0778301886792452,1154.0,2.7216981132075473,37.74;-122.49,1.0
42,9.0055,28.0,7.573033707865169,0.9719101123595506,947.0,2.6601123595505616,33.88;-117.9,1.0
